id,first_name,last_name,position,height,weight,jersey_number,college,country,draft_year,draft_round,draft_number,team_id,team_abbreviation,team_city,team_name,team_conference,team_division
290,Trey,Lyles,F,6-9,234,41,Kentucky,Canada,2015.0,1.0,12.0,26,SAC,Sacramento,Kings,West,Pacific
291,Shelvin,Mack,G,6-3,203,6,Butler,USA,2011.0,2.0,34.0,1,ATL,Atlanta,Hawks,East,Southeast
292,Daryl,Macon,G,6-3,185,3,Arkansas,USA,2018.0,,,7,DAL,Dallas,Mavericks,West,Southwest
293,J.P.,Macura,G,6-5,205,55,Xavier,USA,2018.0,,,4,CHA,Charlotte,Hornets,East,Southeast
294,Ian,Mahinmi,C,6-11,262,28,Pau Orthez,France,2005.0,1.0,28.0,12,IND,Indiana,Pacers,East,Central
295,Thon,Maker,F,7-0,221,7,Athlete Institute Prep,South Sudan,2016.0,1.0,10.0,17,MIL,Milwaukee,Bucks,East,Central
296,Boban,Marjanovic,C,7-4,290,51,Crvena zvezda,Serbia,,,,11,HOU,Houston,Rockets,West,Southwest
297,Lauri,Markkanen,F,7-1,240,23,Arizona,Finland,2017.0,1.0,7.0,29,UTA,Utah,Jazz,West,Northwest
298,Jarell,Martin,F,6-10,239,2,Louisiana State,USA,2015.0,1.0,25.0,15,MEM,Memphis,Grizzlies,West,Southwest
299,Frank,Mason,G,5-11,190,15,Kansas,USA,2017.0,2.0,34.0,26,SAC,Sacramento,Kings,West,Pacific
300,Yante,Maten,F,6-8,240,00,Georgia,USA,2018.0,,,16,MIA,Miami,Heat,East,Southeast
301,Wesley,Matthews,G-F,6-5,220,32,Marquette,USA,,,,1,ATL,Atlanta,Hawks,East,Southeast
302,Luc,Mbah a Moute,F,6-8,230,12,UCLA,Cameroon,2008.0,2.0,37.0,17,MIL,Milwaukee,Bucks,East,Central
303,CJ,McCollum,G,6-3,190,3,Lehigh,USA,2013.0,1.0,10.0,1,ATL,Atlanta,Hawks,East,Southeast
304,T.J.,McConnell,G,6-1,190,9,Arizona,USA,2015.0,0.0,,12,IND,Indiana,Pacers,East,Central
305,Doug,McDermott,F,6-7,225,7,Creighton,USA,2014.0,1.0,11.0,26,SAC,Sacramento,Kings,West,Pacific
306,JaVale,McGee,C,7-0,270,00,Nevada,USA,2008.0,1.0,18.0,26,SAC,Sacramento,Kings,West,Pacific
307,Rodney,McGruder,F-G,6-4,205,17,Kansas State,USA,,,,10,GSW,Golden State,Warriors,West,Pacific
308,Alfonzo,McKinnie,F,6-7,215,28,Wisc.-Green Bay,USA,,,,5,CHI,Chicago,Bulls,East,Central
309,Ben,McLemore,G,6-3,195,23,Kansas,USA,2013.0,1.0,7.0,25,POR,Portland,Trail Blazers,West,Northwest
310,Jordan,McRae,G,6-5,179,52,Tennessee,USA,2014.0,2.0,58.0,30,WAS,Washington,Wizards,East,Southeast
311,Jodie,Meeks,G,6-4,210,20,Kentucky,USA,2009.0,2.0,41.0,23,PHI,Philadelphia,76ers,East,Atlantic
312,Salah,Mejri,C,7-2,235,50,Real Madrid,Tunisia,,,,7,DAL,Dallas,Mavericks,West,Southwest
313,De'Anthony,Melton,G,6-2,200,8,Southern California,USA,2018.0,2.0,46.0,10,GSW,Golden State,Warriors,West,Pacific
314,Chimezie,Metu,F,6-10,225,4,USC,USA,2018.0,2.0,49.0,9,DET,Detroit,Pistons,East,Central
315,Khris,Middleton,F,6-7,222,22,Texas A&M,USA,2012.0,2.0,39.0,30,WAS,Washington,Wizards,East,Southeast
316,CJ,Miles,F-G,6-6,220,6,Skyline HS (TX),USA,2005.0,2.0,34.0,2,BOS,Boston,Celtics,East,Atlantic
317,Darius,Miller,F,6-6,225,21,Kentucky,USA,2012.0,2.0,46.0,19,NOP,New Orleans,Pelicans,West,Southwest
318,Paul,Millsap,F,6-7,257,8,Louisiana Tech,USA,2006.0,2.0,47.0,23,PHI,Philadelphia,76ers,East,Atlantic
319,Patty,Mills,G,6-2,180,88,St. Mary's,Australia,2009.0,2.0,55.0,13,LAC,LA,Clippers,West,Pacific
320,Shake,Milton,G,6-5,205,20,Southern Methodist,USA,2018.0,2.0,54.0,14,LAL,Los Angeles,Lakers,West,Pacific
321,Nikola,Mirotic,F,6-10,250,41,Real Madrid,Montenegro,2011.0,1.0,23.0,5,CHI,Chicago,Bulls,East,Central
322,Donovan,Mitchell,G,6-2,215,45,Louisville,USA,2017.0,1.0,13.0,6,CLE,Cleveland,Cavaliers,East,Central
